NAME,GP,REC YDS,HOF,REC,TRG,AVG,REC YDS/G,REC TD,RUSH YDS,ATT,YPC,RUSH YDS/G,RUSH TD
Jerry Rice,303,"22,895",2010,"1,549",709,14.8,75.6,197,645,87,7.4,2.1,10
Terrell Owens,219,"15,934",2018,"1,078","1,604",14.8,72.8,153,251,39,6.4,1.1,3
Randy Moss,218,"15,292",2018,982,"1,616",15.6,70.1,156,159,25,6.4,0.7,0
Isaac Bruce,223,"15,208",2020,"1,024","1,210",14.9,68.2,91,139,25,5.6,0.6,0
Tim Brown,255,"14,934",2015,"1,094",670,13.7,58.6,100,190,50,3.8,0.7,1
Marvin Harrison,190,"14,580",2016,"1,102","1,431",13.2,76.7,128,28,10,2.8,0.1,0
James Lofton,233,"14,004",2003,764,,18.3,60.1,75,246,32,7.7,1.1,1
Cris Carter,234,"13,899",2013,"1,101",442,12.6,59.4,130,41,13,3.2,0.2,0
Andre Reed,234,"13,198",2014,951,111,13.9,56.4,87,500,75,6.7,2.1,1
Steve Largent,200,"13,089",1995,819,,16,65.4,100,83,17,4.9,0.4,1
Art Monk,224,"12,721",2008,940,,13.5,56.8,68,332,63,5.3,1.5,0
Charlie Joiner,239,"12,146",1996,750,,16.2,50.8,65,22,8,2.8,0.1,0
Michael Irvin,159,"11,904",2007,750,19,15.9,74.9,65,6,6,1,0,0
Don Maynard,174,"11,750",1987,628,,18.7,67.5,88,25,12,2.1,0.1,0
Calvin Johnson,135,"11,619",2021,731,"1,315",15.9,86.1,83,167,19,8.8,1.2,1
Lance Alworth,136,"10,266",1978,542,,18.9,75.5,85,129,24,5.4,0.9,2
Raymond Berry,154,"9,275",1973,631,,14.7,60.2,68,0,0,,0,0
Fred Biletnikoff,190,"8,974",1988,589,,15.2,47.2,76,0,0,,0,0
John Stallworth,165,"8,723",2002,537,,16.2,52.9,63,111,9,12.3,0.7,1
Harold Carmichael,169,"8,709",2020,570,,15.3,51.5,77,64,9,7.1,0.4,0
Cliff Branch,183,"8,685",2022,501,,17.3,47.5,67,70,11,6.4,0.4,0
Paul Warfield,157,"8,565",1983,427,,20.1,54.6,85,204,22,9.3,1.3,0
Don Hutson,116,"7,991",1963,488,,16.4,68.9,99,284,62,4.6,2.4,3
Drew Pearson,156,"7,822",2021,489,,16,50.1,48,189,21,9,1.2,0
Charley Taylor,138,"7,719",1984,556,,13.9,55.9,71,331,98,3.4,2.4,3
