Player,Time of goals,Time of Hat Trick,For,Result,Against,Tournament,Round,Date
Carolina Morace,"37', 52', 66'",66,Italy,5-0,Chinese Taipei,"1991, China",Group stage,17-Nov-91
Michelle Akers,"8', 29', 33', 44' (pen.), 48'",33,United States,7-0,Chinese Taipei,"1991, China",Quarterfinals,24-Nov-91
Carin Jennings,"10', 22', 33'",33,United States,5-2,Germany,"1991, China",Semi-finals,27-Nov-91
Kristin Sandberg,"30', 44', 82'",82,Norway,8-0,Nigeria,"1995, Sweden",Group stage,6-Jun-95
Ann Kristin Aarones,"4', 21', 90+3'",93,Norway,7-0,Canada,"1995, Sweden",Group stage,10-Jun-95
Sissi,"29', 42', 50'",50,Brazil,7-1,Mexico,"1999, United States",Group stage,19-Jun-99
Pretinha,"3', 12', 90+1'",91,Brazil,7-1,Mexico,"1999, United States",Group stage,19-Jun-99
Sun Wen,"9', 21', 54'",54,China,7-0,Ghana,"1999, United States",Group stage,23-Jun-99
Inka Grings,"10', 57', 90+2'",92,Germany,6-0,Mexico,"1999, United States",Group stage,24-Jun-99
Mio Otani,"72', 75', 80'",80,Japan,6-0,Argentina,"2003, United States",Group stage,20-Sep-03
Birgit Prinz,"29', 45+1', 59'",59,Germany,11-0,Argentina,"2007, China",Group stage,10-Sep-07
Sandra Smisek,"57', 70', 79'",79,Germany,11-0,Argentina,"2007, China",Group stage,10-Sep-07
Ragnhild Gulbrandsen,"39', 59', 62'",62,Norway,7-2,Ghana,"2007, China",Group stage,20-Sep-07
Homare Sawa,"13', 39', 80'",80,Japan,4-0,Mexico,"2011, Germany",Group stage,1-Jul-11
Celia Sasic,"3', 14', 31'",31,Germany,10-0,Ivory Coast,"2015, Canada",Group stage,7-Jun-15
Anja Mittag,"29', 35', 64'",64,Germany,10-0,Ivory Coast,"2015, Canada",Group stage,7-Jun-15
Gaëlle Enganamouit,"36', 73', 90+4' (pen.)",94,Cameroon,6-0,Ecuador,"2015, Canada",Group stage,8-Jun-15
Fabienne Humm,"47', 49', 52'",52,Switzerland,10-1,Ecuador,"2015, Canada",Group stage,12-Jun-15
Ramona Bachmann,"60' (pen.), 61', 81'",81,Switzerland,10-1,Ecuador,"2015, Canada",Group stage,12-Jun-15
Carli Lloyd,"3', 5', 16'",16,United States,5-2,Japan,"2015, Canada",Final,5-Jul-15
Cristiane,"15', 50', 64'",64,Brazil,3-0,Jamaica,"2019, France",Group stage,9-Jun-19
Alex Morgan,"12', 53', 74', 81', 87'",74,United States,13-0,Thailand,"2019, France",Group stage,11-Jun-19
Cristiana Girelli,"12' (pen.), 25', 46'",46,Italy,5-0,Jamaica,"2019, France",Group stage,14-Jun-19
Sam Kerr,"11', 42', 69', 83'",69,Australia,4-1,Jamaica,"2019, France",Group stage,18-Jun-19
Ary Borges,"19', 39', 70'",70,Brazil,4-0,Panama,"2023, Australia/New Zealand",Group stage,24-Jul-23
Sophie Roman Haug,"6', 16', 90+5'",95,Norway,6-0,Philippines,"2023, Australia/New Zealand",Group stage,30-Jul-23
Kadidiatou Diani,"28', 37' (pen.), 52' (pen.)",52,France,6-3,Panama,"2023, Australia/New Zealand",Group stage,2-Aug-23
