Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
Indianapolis ABCs,31,26.1,4.53,95,3564,3125,430,806,97,41,13,346,78,,290,403,0.258,0.324,0.328,0.651,94,1024,,13,136,,,
Boston Red Sox,32,28.1,4.22,154,5995,5189,650,1397,216,71,22,569,98,110,527,428,0.269,0.342,0.351,0.693,87,1821,,45,219,,,1138
Brooklyn Robins,29,30.1,4.26,155,5971,5399,660,1493,205,99,28,566,70,80,359,391,0.277,0.324,0.367,0.691,96,1980,,19,189,,,1073
Boston Braves,30,27.8,3.42,153,5810,5218,523,1358,168,86,23,456,88,98,385,488,0.26,0.315,0.339,0.654,93,1767,,33,166,,,1068
Chicago American Giants,23,26.9,4.99,67,2469,2119,334,539,75,28,4,293,59,,240,305,0.254,0.335,0.322,0.657,96,682,,18,92,,,
Chicago Cubs,31,29.3,4.02,154,5813,5117,619,1350,223,67,34,535,115,129,428,421,0.264,0.326,0.354,0.68,94,1809,,46,220,,,1014
Chicago White Sox,26,29.4,5.16,154,6040,5330,794,1574,263,98,37,694,109,94,474,350,0.295,0.357,0.402,0.759,101,2144,,38,188,,,1130
Cincinnati Reds,26,29,4.15,154,5800,5176,639,1432,169,76,18,546,158,128,382,367,0.277,0.332,0.349,0.681,97,1807,,47,194,,,1002
Cleveland Indians,29,29.3,5.56,154,6085,5203,856,1575,301,95,35,757,73,93,574,376,0.303,0.376,0.417,0.793,107,2171,,36,254,,,1162
Chicago Giants,23,24,3.5,40,1507,1331,140,312,40,14,5,120,20,,112,200,0.234,0.3,0.297,0.597,78,395,,13,51,,,
Cuban Stars West,13,24.8,4.67,61,2339,2055,285,512,66,18,9,229,66,,186,238,0.249,0.318,0.312,0.629,88,641,,20,78,,,
Detroit Tigers,38,28.9,4.21,155,5949,5212,652,1406,228,72,30,561,76,68,485,389,0.27,0.334,0.358,0.693,86,1868,,20,216,,,1106
Dayton Marcos,25,26.9,3.79,42,1571,1405,159,328,42,16,3,129,49,,109,210,0.233,0.296,0.293,0.588,75,411,,15,42,,,
Detroit Stars,25,25.5,5,64,2423,2095,320,534,93,23,28,275,50,,234,260,0.255,0.334,0.361,0.695,107,757,,15,79,,,
Kansas City Monarchs,26,24.9,5.05,78,3039,2688,394,742,113,39,20,325,98,,206,308,0.276,0.331,0.369,0.7,109,993,,15,130,,,
New York Giants,38,26.9,4.4,155,5892,5309,682,1427,210,76,46,590,131,113,432,545,0.269,0.327,0.363,0.69,98,1927,,26,124,,,1015
New York Yankees,26,27.8,5.44,154,5923,5174,837,1447,268,71,115,751,64,81,532,621,0.28,0.349,0.426,0.775,101,2202,,23,172,,,1026
Philadelphia Athletics,38,24.7,3.58,156,5850,5263,558,1325,219,49,44,465,50,67,352,575,0.252,0.304,0.337,0.641,70,1774,,45,169,,,1070
Philadelphia Phillies,28,28.9,3.69,153,5743,5264,565,1385,229,54,64,483,100,83,283,531,0.263,0.305,0.364,0.669,89,1914,,36,159,,,1008
Pittsburgh Pirates,32,27.6,3.42,155,5800,5219,530,1342,162,90,16,449,181,117,374,405,0.257,0.31,0.332,0.642,82,1732,,29,174,,,1029
St. Louis Browns,37,28.5,5.18,154,6040,5359,797,1650,278,84,50,707,121,78,425,338,0.308,0.363,0.419,0.782,105,2246,,38,207,,,1137
St. Louis Giants,29,27.9,3.9,67,2489,2175,261,544,69,16,9,216,80,,179,302,0.25,0.322,0.309,0.631,88,672,,51,84,,,
St. Louis Cardinals,34,26.1,4.35,155,6092,5495,675,1589,238,96,32,600,126,114,373,484,0.289,0.337,0.385,0.722,109,2115,,26,192,,,1124
Washington Senators,40,27.2,4.73,153,5957,5252,724,1525,232,81,36,616,160,110,435,538,0.29,0.351,0.386,0.737,98,2027,,54,199,,,1113
